ID|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4
1307|Michael Phelps is a pretty well-known swimmer, so I'm surprised you haven't heard of him.|マイケル・フェルプスはかなり有名な水泳選手なので、あなたが彼を知らないことに驚いている。|Michael Phelps is^S+V^core^マイケル・フェルプスは～だ|a pretty well-known swimmer,^Complement^core^かなり有名な水泳選手|so^Conjunction^connector^だから|I'm surprised^S+V(Passive)^core^私は驚いている
1308|Europe's Muslim population has been rising year after year.|ヨーロッパのイスラム教徒の人口は年々増加している。|Europe's Muslim population^Subject^core^ヨーロッパのイスラム教徒の人口は|has been rising^Verb^core^上昇し続けている|year after year.^Adverb^modifier^年々|
1309|Handling customer complaints is the last thing I want to do at work.|顧客からの苦情処理は、職場で私が一番やりたくないことだ。|Handling customer complaints^Gerund(Subject)^core^顧客の苦情を処理することは|is^Verb^core^～である|the last thing^Complement^core^最後のこと（最もやりたくないこと）|(that) I want to do^Relative Clause^modifier^私がしたい
1310|Should you need any further information, please do not hesitate to contact me.|さらに詳しい情報が必要な場合は、遠慮なくご連絡ください。|Should you need^S+V(Inversion)^core^もし必要なら|any further information,^Object^core^何か詳しい情報を|please do not hesitate^Imperative(V)^core^遠慮しないでください|to contact me.^Infinitive^modifier^私に連絡することを
1311|The researcher said Korean unification could cost trillions of dollars.|その研究者は、朝鮮半島の統一には数兆ドルの費用がかかる可能性があると述べた。|The researcher said^S+V^core^その研究者は言った|Korean unification^Subject^core^朝鮮半島の統一は|could cost^Verb^core^費用がかかる可能性があると|trillions of dollars.^Object^core^数兆ドルもの
1312|My greatest strength is that I can remain composed in any situation.|私の最大の長所は、どんな状況でも冷静でいられることだ。|My greatest strength is^S+V^core^私の最大の長所は～です|that^Conjunction^connector^ということ|I can remain composed^S+V+C^core^私が冷静でいられる|in any situation.^Preposition^modifier^どんな状況でも
1313|We'll alienate our fans if we increase the ticket prices more than we already have.|これ以上チケット代を上げると、ファンが離れてしまうだろう。|We'll alienate our fans^S+V+O^core^私たちはファンを遠ざけてしまうだろう|if^Conjunction^connector^もし～なら|we increase^S+V^core^私たちが値上げすれば|the ticket prices^Object^core^チケットの価格を
1314|I became an AI engineer because I wanted to be at the frontier of AI technology.|私がAIエンジニアになったのは、AI技術の最前線にいたかったからだ。|I became^S+V^core^私はなった|an AI engineer^Complement^core^AIエンジニアに|because^Conjunction^connector^なぜなら|I wanted^S+V^core^私はしたかった
1315|I've done a marathon before, but I've never attempted a triathlon.|マラソンは完走したことがあるが、トライアスロンには挑戦したことがない。|I've done^S+V^core^私は完走したことがある|a marathon^Object^core^マラソンを|before,^Adverb^modifier^以前に|but^Conjunction^connector^しかし
1316|Our company has expanded from three employees to 100 over the past few years.|わが社は過去数年で従業員3名から100名に拡大した。|Our company has expanded^S+V^core^わが社は拡大した|from three employees^Preposition^modifier^3人の従業員から|to 100^Preposition^modifier^100人に|over the past few years.^Preposition^modifier^過去数年にわたって
1317|My anxiety about public speaking comes from a lack of practice.|人前で話すことに対する私の不安は、練習不足から来ている。|My anxiety^Subject^core^私の不安は|about public speaking^Preposition^modifier^人前で話すことについての|comes^Verb^core^来る|from a lack of practice.^Preposition^modifier^練習不足から
1318|Make an attack on something. Make an attack on somebody.|何かに攻撃を仕掛ける。誰かに攻撃を仕掛ける。|Make an attack^Verb+Object^core^攻撃を仕掛ける|on something.^Preposition^modifier^何かに|Make an attack^Verb+Object^core^攻撃を仕掛ける|on somebody.^Preposition^modifier^誰かに
1319|I'm suffering from a fever now, so I don't think I can make it tomorrow.|今、熱があるので、明日は行けそうにありません。|I'm suffering^S+V^core^私は苦しんでいる|from a fever now,^Preposition^modifier^今、熱で|so^Conjunction^connector^だから|I don't think^S+V^core^私は思わない
1320|Make sure you drive safely. Okay, you just got your driver's license.|安全運転を心がけてね。いい？免許を取ったばかりなんだから。|Make sure^Verb^core^確実に～してね|(that) you drive safely.^Clause^core^あなたが安全に運転することを|Okay,^Interjection^modifier^いい？|you just got^S+V^core^あなたは取ったばかりだ
1321|She accentuated her look with a beautiful diamond necklace and lowkey earrings.|彼女は美しいダイヤのネックレスと控えめなイヤリングで外見を引き立てた。|She accentuated^S+V^core^彼女は強調（引き立て）した|her look^Object^core^彼女の外見を|with a beautiful diamond necklace^Preposition^modifier^美しいダイヤのネックレスで|and lowkey earrings.^Noun^modifier^そして控えめなイヤリングで
1322|Tommy makes big claims about everything, but he never really backs it up.|トミーは何事も大口を叩くが、決して裏付けを伴わない。|Tommy makes^S+V^core^トミーはする|big claims^Object^core^大きな主張を（大口を叩く）|about everything,^Preposition^modifier^あらゆることについて|but^Conjunction^connector^しかし
1323|I'm going to a concert tonight, so I have to go home immediately after work.|今夜コンサートに行くので、仕事の後すぐ帰らなければならない。|I'm going^S+V^core^私は行く予定だ|to a concert tonight,^Preposition^modifier^今夜コンサートに|so^Conjunction^connector^だから|I have to go home^S+V+Adv^core^私は家に帰らなければならない
1324|We've got to make some space for the new TV. It's really huge.|新しいテレビのためにスペースを作らなきゃ。すごく大きいんだ。|We've got to make^S+V^core^私たちは作らなければならない|some space^Object^core^スペースを|for the new TV.^Preposition^modifier^新しいテレビのために|It's really huge.^S+V+C^core^それは本当に巨大だ
1325|There are a lot of unique customs in China that you won't find in other countries.|中国には他国では見られないユニークな習慣がたくさんある。|There are^Verb^core^～がある|a lot of unique customs^Subject^core^多くのユニークな習慣が|in China^Preposition^modifier^中国には|that you won't find^Relative Clause^modifier^あなたが見つけられない
1326|This video gave me a lot of tips for delivering a great speech.|この動画は素晴らしいスピーチをするためのヒントをたくさんくれた。|This video gave me^S+V+O^core^この動画は私にくれた|a lot of tips^Object^core^たくさんのヒントを|for delivering^Gerund^modifier^行うための|a great speech.^Object(of Gerund)^modifier^素晴らしいスピーチを
1327|This Christmas song is heard ubiquitously in November and December.|このクリスマスソングは11月と12月になると至る所で耳にする。|This Christmas song^Subject^core^このクリスマスソングは|is heard^Verb(Passive)^core^聞かれる|ubiquitously^Adverb^modifier^至る所で|in November and December.^Preposition^modifier^11月と12月に
1328|I was nervously waiting for him because I've been stood up so many times.|何度もすっぽかされたことがあるので、私は緊張しながら彼を待っていた。|I was nervously waiting^S+V^core^私は緊張して待っていた|for him^Preposition^modifier^彼を|because^Conjunction^connector^なぜなら|I've been stood up^S+V(Passive)^core^私はすっぽかされたことがある
1329|Let's make some enhancements to our website to increase the number of visitors.|訪問者数を増やすために、ウェブサイトをいくつか改良しよう。|Let's make^Verb^core^～しましょう（作りましょう）|some enhancements^Object^core^いくつかの改良を|to our website^Preposition^modifier^私たちのウェブサイトに|to increase^Infinitive^modifier^増やすために
1330|Using glue and heat is the best way to bond these two pieces of wood together.|接着剤と熱を使うのが、これら2つの木材を接着する最良の方法だ。|Using glue and heat^Subject(Gerund)^core^接着剤と熱を使うことは|is^Verb^core^～である|the best way^Complement^core^最良の方法|to bond^Infinitive^modifier^結合させるための
1331|I find it especially annoying when people who are late don't apologize.|遅刻した人が謝らないと、特にイライラする。|I find it especially annoying^S+V+O+C^core^私はそれが特に不快だとわかる|when^Conjunction^connector^～の時|people who are late^Subject^core^遅刻した人々が|don't apologize.^Verb^core^謝らない（時）
1332|I really hate general education courses. They're so boring.|一般教養のコースは大嫌いだ。すごく退屈だから。|I really hate^S+V^core^私は本当に嫌いだ|general education courses.^Object^core^一般教養のコースを|They're^S+V^core^それらは～だ|so boring.^Complement^core^とても退屈
1333|I think social media has a tendency to distort the truth.|ソーシャルメディアは真実を歪める傾向があると思う。|I think^S+V^core^私は思う|social media has^S+V^core^ソーシャルメディアが持っていると|a tendency^Object^core^傾向を|to distort^Infinitive^modifier^歪めるための
1334|Only recreational fishing is allowed here. So, we won't be able to use your ship.|ここでは娯楽の釣りしか許可されていない。だから、あなたの船は使えないだろう。|Only recreational fishing^Subject^core^娯楽の釣りだけが|is allowed here.^Verb(Passive)^core^ここで許可されている|So,^Conjunction^connector^だから|we won't be able to use^S+V^core^私たちは使うことができないだろう
1335|I know I'm taking a risk by buying a house right now, but I really like this place.|今家を買うのはリスクがあるとは分かっているが、この場所が本当に気に入っている。|I know^S+V^core^私は知っている|(that) I'm taking a risk^Clause^core^私がリスクを冒していることを|by buying a house^Gerund^modifier^家を買うことによって|right now,^Adverb^modifier^ちょうど今
1336|California rolls are like a fusion of American and Japanese food.|カリフォルニアロールは、アメリカ料理と日本料理の融合のようなものだ。|California rolls are^S+V^core^カリフォルニアロールは～だ|like a fusion^Preposition^modifier^融合のような|of American and Japanese food.^Preposition^modifier^アメリカと日本の食べ物の|
1337|A lot of young people these days don't know the lyrics of the national anthem.|最近の若者の多くは、国歌の歌詞を知らない。|A lot of young people^Subject^core^多くの若者は|these days^Adverb^modifier^最近の|don't know^Verb^core^知らない|the lyrics^Object^core^歌詞を
1338|Do you think the explosion in international commerce has to do with the internet or something else?|国際商取引の爆発的増加は、インターネットと関係があると思いますか、それとも他の何かですか？|Do you think^S+V^core^あなたは思いますか|the explosion^Subject^core^（その）爆発的増加は|in international commerce^Preposition^modifier^国際商取引における|has to do with^Verb Phrase^core^～と関係がある（と）
1339|My family traditionally uses only handmade ornaments on our Christmas tree.|私の家族は伝統的に、クリスマスツリーには手作りのオーナメントしか使わない。|My family traditionally uses^S+Adverb+V^core^私の家族は伝統的に使う|only handmade ornaments^Object^core^手作りのオーナメントだけを|on our Christmas tree.^Preposition^modifier^私たちのクリスマスツリーに|
1340|I think there should be a thorough inquiry into those shady restaurants downtown.|ダウンタウンにあるあの怪しいレストランについて、徹底的な調査が必要だと思う。|I think^S+V^core^私は思う|there should be^Verb^core^～があるべきだと|a thorough inquiry^Subject^core^徹底的な調査が|into those shady restaurants^Preposition^modifier^あれらの怪しいレストランへの
1341|Andrew, you made a significant contribution to the creation of this book.|アンドリュー、あなたはこの本の制作に多大な貢献をしてくれました。|Andrew,^Vocative^modifier^アンドリュー、|you made^S+V^core^あなたはした（作った）|a significant contribution^Object^core^重要な貢献を|to the creation^Preposition^modifier^制作に対して
1342|It's really important to have good mentors if you want your career to flourish.|キャリアを成功させたいなら、良い指導者を持つことは本当に重要だ。|It's really important^S+V+C^core^それは本当に重要だ|to have good mentors^Infinitive(Subject)^modifier^良いメンターを持つことは|if^Conjunction^connector^もし～なら|you want^S+V^core^あなたが望む
1343|You should wrap the half-eaten banana because it'll oxidize really quickly.|食べかけのバナナはラップに包んだほうがいい。すぐに酸化してしまうから。|You should wrap^S+V^core^あなたは包むべきだ|the half-eaten banana^Object^core^その食べかけのバナナを|because^Conjunction^connector^なぜなら|it'll oxidize^S+V^core^それは酸化するだろう
1344|I think there's little likelihood that our team will win this game, but I'll still cheer for them.|我々のチームがこの試合に勝つ可能性は低いと思うが、それでも応援するつもりだ。|I think^S+V^core^私は思う|there's little likelihood^Clause^core^可能性はほとんどないと|that our team will win^Appositive Clause^modifier^私たちのチームが勝つという|this game,^Object^core^この試合に
1345|People can speculate about the future, but nobody knows for sure what's going to happen.|人々は未来について推測することはできるが、何が起こるか確かなことは誰にもわからない。|People can speculate^S+V^core^人々は推測できる|about the future,^Preposition^modifier^未来について|but^Conjunction^connector^しかし|nobody knows for sure^S+V+Adv^core^誰も確かには知らない
1346|What you're saying is theoretically correct, but it's not going to work in practice.|あなたの言っていることは理論的には正しいが、実際にはうまくいかないだろう。|What you're saying^Subject(Clause)^core^あなたが言っていることは|is theoretically correct,^V+C^core^理論的には正しい|but^Conjunction^connector^しかし|it's not going to work^S+V^core^それは機能しないだろう
1347|6 - 4 = 2. 6 - 4 is 2.|6引く4は2。|6 - 4 = 2.^Math^core^6引く4は2|6 - 4 is 2.^Math(S+V+C)^core^6引く4は2です||
1348|Will building a wall between the US and Mexico really help with border protection?|アメリカとメキシコの間に壁を作ることは、本当に国境警備の役に立つのだろうか？|Will building a wall^Subject^core^壁を作ることは～だろうか|between the US and Mexico^Preposition^modifier^アメリカとメキシコの間に|really help^Verb^core^本当に役立つ|with border protection?^Preposition^modifier^国境警備において
1349|It's important to make a concentrated effort if you really want to achieve what you're after.|目指しているものを本当に達成したいなら、集中的に努力することが重要だ。|It's important^S+V+C^core^それは重要だ|to make a concentrated effort^Infinitive(Subject)^modifier^集中的な努力をすることは|if^Conjunction^connector^もし～なら|you really want to achieve^S+V^core^あなたが本当に達成したい
1350|YouTube and Netflix have rendered my DVD player useless.|YouTubeとNetflixのせいで、私のDVDプレイヤーは無用の長物になってしまった。|YouTube and Netflix^Subject^core^YouTubeとNetflixは|have rendered^Verb^core^～の状態にした|my DVD player useless.^Object+Complement^core^私のDVDプレイヤーを役に立たない状態に|
1351|You can do things at your own pace. So don't worry about how others are doing.|自分のペースでやればいいよ。だから他人がどうしているかなんて気にしなくていい。|You can do things^S+V+O^core^あなたは物事をやっていい|at your own pace.^Preposition^modifier^あなた自身のペースで|So^Conjunction^connector^だから|don't worry^Verb^core^心配しないで
1352|How much English competency is needed to study abroad in an Ivy League school?|アイビーリーグの学校に留学するには、どのくらいの英語力が必要ですか？|How much English competency^Subject^core^どれくらいの英語能力が|is needed^Verb(Passive)^core^必要とされますか|to study abroad^Infinitive^modifier^留学するために|in an Ivy League school?^Preposition^modifier^アイビーリーグの学校に
1353|The police are currently investigating the apartment where the homicide occurred.|警察は現在、殺人が起きたアパートを捜査している。|The police are currently investigating^S+Adv+V^core^警察は現在捜査している|the apartment^Object^core^そのアパートを|where the homicide occurred.^Relative Clause^modifier^殺人が起きた（場所）|
1354|The prices of commodities are mainly determined by supply and demand.|商品の価格は主に需要と供給によって決まる。|The prices of commodities^Subject^core^商品の価格は|are mainly determined^Verb(Passive)^core^主に決定される|by supply and demand.^Preposition^modifier^需要と供給によって|
1355|We all have an equal chance of winning. So don't give up till it's over.|私たち全員に勝つチャンスは平等にある。だから終わるまで諦めてはいけない。|We all have^S+V^core^私たち全員が持っている|an equal chance^Object^core^平等なチャンスを|of winning.^Preposition^modifier^勝つことの|So^Conjunction^connector^だから
1356|"My girlfriend was like, ""If I'm not your potential wife, why are you dating me?"""|彼女は「もし私が将来の妻候補じゃないなら、なんで付き合ってるの？」って感じだった。|My girlfriend was like,^S+V^core^彼女は～って感じだった|"""If I'm not^Conjunction+S+V^connector^もし私が～でないなら"|your potential wife,^Complement^core^あなたの妻候補|"why are you dating me?""^S+V+O^core^なぜ私と付き合っているの？"
1357|Furniture assembly is ridiculously hard without instructions.|説明書がないと、家具の組み立てはとんでもなく難しい。|Furniture assembly is^S+V^core^家具の組み立ては～だ|ridiculously hard^Complement^core^バカみたいに難しい|without instructions.^Preposition^modifier^説明書なしでは|
1358|The university I most want to attend is selective. I'm not sure I'll be accepted.|私が一番行きたい大学は狭き門だ。合格できるかわからない。|The university^Subject^core^その大学は|(that) I most want to attend^Relative Clause^modifier^私が最も通いたい|is selective.^Verb+Complement^core^選抜が厳しい（狭き門だ）|I'm not sure^S+V+C^core^私は確信が持てない
1359|It's surprising they are still dating. I thought they would make a terrible couple.|彼らがまだ付き合っているのは驚きだ。ひどいカップルになると思っていたから。|It's surprising^S+V+C^core^それは驚きだ|(that) they are still dating.^Clause^core^彼らがまだ付き合っていることは|I thought^S+V^core^私は思っていた|(that) they would make^Clause^core^彼らが～になるだろうと
1360|This article says there are some specific genes associated with intelligence.|この記事によると、知能に関連する特定の遺伝子があるそうだ。|This article says^S+V^core^この記事は言っている|(that) there are^Verb^core^～があると|some specific genes^Subject^core^いくつかの特定の遺伝子が|associated^Participle^modifier^関連している
1361|I think the interviewer will take your experience as manager into consideration.|面接官は、あなたのマネージャーとしての経験を考慮に入れてくれると思う。|I think^S+V^core^私は思う|the interviewer will take^S+V^core^面接官は取る（入れる）だろう|your experience^Object^core^あなたの経験を|as manager^Preposition^modifier^マネージャーとしての
1362|The new factory is going to provide many people with employment opportunities.|新しい工場は多くの人々に雇用機会を提供するだろう。|The new factory^Subject^core^新しい工場は|is going to provide^Verb^core^提供するつもりだ|many people^Object^core^多くの人々に|with employment opportunities.^Preposition^modifier^雇用の機会を
1363|This course is designed to provide students with a big picture view of programming.|このコースは、学生にプログラミングの全体像を提供するように設計されている。|This course is designed^S+V(Passive)^core^このコースは設計されている|to provide students^Infinitive^modifier^学生に提供するために|with a big picture view^Preposition^modifier^全体像（大局的な視点）を|of programming.^Preposition^modifier^プログラミングの
1364|I don't really have the energy to tackle this problem right now. I'm so tired.|今、この問題に取り組む元気はないよ。すごく疲れてるんだ。|I don't really have^S+V^core^私はあまり持っていない|the energy^Object^core^エネルギーを|to tackle this problem^Infinitive^modifier^この問題に取り組むための|right now.^Adverb^modifier^たった今
1365|I think including James on our team is a bit superfluous.|私たちのチームにジェームズを入れるのは、ちょっと余計だと思う。|I think^S+V^core^私は思う|including James^Gerund(Subject)^core^ジェームズを含めることは|on our team^Preposition^modifier^私たちのチームに|is^Verb^core^～である
1366|What you're talking about is pretty abstract. So, can you give me some more concrete examples?|あなたの話はかなり抽象的ですね。もう少し具体的な例を挙げてもらえませんか？|What you're talking about^Subject(Clause)^core^あなたが話していることは|is pretty abstract.^Verb+Complement^core^かなり抽象的だ|So,^Conjunction^connector^だから|can you give me^S+V+O^core^私にくれますか
1367|This working holiday visa is for a maximum of 12 months. It is not renewable.|このワーキングホリデービザは最長12ヶ月間です。更新はできません。|This working holiday visa is^S+V^core^このワーキングホリデービザは～だ|for a maximum^Preposition^modifier^最大で|of 12 months.^Preposition^modifier^12ヶ月間の|It is not renewable.^S+V+C^core^それは更新不可能だ
1368|You want to be famous, but you don't want to do social media. That's a bit contradictory.|有名になりたいけどSNSはやりたくないなんて、ちょっと矛盾してるね。|You want to be famous,^S+V+C^core^あなたは有名になりたい|but^Conjunction^connector^しかし|you don't want to do^S+V^core^あなたはしたくない|social media.^Object^core^ソーシャルメディアを
1369|What I have for dinner is generally determined by how lazy I'm feeling.|夕食に何を食べるかは、たいていその時の私の怠け具合で決まる。|What I have for dinner^Subject(Clause)^core^私が夕食に食べるものは|is generally determined^Verb(Passive)^core^一般的に決定される|by how lazy^Preposition(Clause)^modifier^どれくらい怠けているかによって|I'm feeling.^S+V(Clause)^modifier^私が感じている
1370|She's the kind of person that always needs the approval of others before doing anything.|彼女は何かをする前に、常に他人の承認を必要とするタイプの人だ。|She's the kind of person^S+V+C^core^彼女はそのような種類の人だ|that always needs^Relative Clause^modifier^常に必要とする|the approval of others^Object^core^他人の承認を|before doing anything.^Preposition^modifier^何かをする前に
1371|China's presence in Africa has grown rapidly over the past decade.|アフリカにおける中国の存在感は、過去10年間で急速に高まった。|China's presence^Subject^core^中国の存在感は|in Africa^Preposition^modifier^アフリカにおける|has grown rapidly^Verb+Adv^core^急速に成長した|over the past decade.^Preposition^modifier^過去10年間にわたって
1372|I know how important vaccines are, but it doesn't stop them from being painful.|ワクチンの重要性は分かっているが、それでも痛いものは痛い。|I know^S+V^core^私は知っている|how important vaccines are,^Clause(Object)^core^ワクチンがどれほど重要か|but^Conjunction^connector^しかし|it doesn't stop them^S+V+O^core^それはそれらを止めない
1373|I thought the total price would be $100, but I forgot to include tax.|合計で100ドルだと思っていたが、税金を含めるのを忘れていた。|I thought^S+V^core^私は思った|the total price would be $100,^Clause^core^合計価格は100ドルだろうと|but^Conjunction^connector^しかし|I forgot to include^S+V^core^私は含めるのを忘れた
1374|I managed to graduate from my university even though my grades weren't great.|成績は良くなかったが、なんとか大学を卒業することができた。|I managed to graduate^S+V^core^私はなんとか卒業した|from my university^Preposition^modifier^私の大学から|even though^Conjunction^connector^～だけれども|my grades weren't great.^S+V+C^core^私の成績はすごくなかった
1375|The prices of household goods have increased like crazy since last year.|昨年から日用品の価格が異常に高騰している。|The prices of household goods^Subject^core^家庭用品の価格は|have increased^Verb^core^上昇した|like crazy^Adverb^modifier^狂ったように（猛烈に）|since last year.^Preposition^modifier^昨年から
1376|The documentary shed light on the issue of poverty in developing countries.|そのドキュメンタリーは、発展途上国の貧困問題に光を当てた。|The documentary^Subject^core^そのドキュメンタリーは|shed light^Verb+Object^core^光を当てた|on the issue of poverty^Preposition^modifier^貧困の問題に|in developing countries.^Preposition^modifier^発展途上国の
1377|The thought that my boyfriend may not be committed to our relationship is worrying me.|彼氏が私たちの関係に真剣じゃないかもしれないと考えると、不安になる。|The thought^Subject^core^その考えは|that my boyfriend may not be committed^Appositive Clause^modifier^彼氏がコミットしていないかもしれないという|to our relationship^Preposition^modifier^私たちの関係に|is worrying me.^Verb+Object^core^私を心配させている
1378|I don't really like going to court. Maybe I shouldn't have become a lawyer.|裁判所に行くのはあまり好きじゃない。弁護士になるべきじゃなかったかもしれない。|I don't really like^S+V^core^私はあまり好きではない|going to court.^Gerund(Object)^core^裁判所に行くことが|Maybe^Adverb^modifier^たぶん|I shouldn't have become^S+V^core^私はなるべきではなかった
1379|The imposition of taxes does not necessarily benefit the country.|税金を課すことが、必ずしも国のためになるとは限らない。|The imposition of taxes^Subject^core^税の導入（課税）は|does not necessarily benefit^Verb^core^必ずしも利益をもたらさない|the country.^Object^core^その国に|
1380|Careless commercial development in this area would endanger the wildlife.|この地域での不注意な商業開発は、野生生物を危険にさらすだろう。|Careless commercial development^Subject^core^不注意な商業開発は|in this area^Preposition^modifier^この地域の|would endanger^Verb^core^危険にさらすだろう|the wildlife.^Object^core^野生生物を
1381|I know French fries aren't great for my health, but I just can't stop eating them.|フライドポテトが体に良くないのは知っているが、やめられないんだ。|I know^S+V^core^私は知っている|(that) French fries aren't great^Clause^core^フライドポテトが良くないことを|for my health,^Preposition^modifier^私の健康にとって|but^Conjunction^connector^しかし
1382|Hey, George. Can you do something about that horrible sound coming out of the speakers?|ねえジョージ。スピーカーから出るあのひどい音、なんとかしてくれない？|Hey, George.^Vocative^modifier^ねえ、ジョージ|Can you do something^S+V+O^core^何かしてくれませんか|about that horrible sound^Preposition^modifier^あの恐ろしい音について|coming out^Participle^modifier^出てきている
1383|Andy and Trent look pretty similar, so people often get them confused.|アンディとトレントはかなり似ているので、よく間違えられる。|Andy and Trent look^S+V^core^アンディとトレントは見える|pretty similar,^Complement^core^かなり似て|so^Conjunction^connector^だから|people often get them confused.^S+V+O+C^core^人々はしばしば彼らを混同する
1384|I can't go and report that John stole something if I don't have any evidence.|証拠がないなら、ジョンが何か盗んだと通報しに行くことはできない。|I can't go and report^S+V^core^私は行って報告することはできない|that John stole something^Clause(Object)^core^ジョンが何かを盗んだと|if^Conjunction^connector^もし～なら|I don't have^S+V^core^私が持っていない
1385|Why are you so awesome at explaining things logically and systematically?|どうしてそんなに論理的かつ体系的に説明するのが上手いの？|Why are you^S+V^core^なぜあなたは～ですか|so awesome^Complement^core^そんなに素晴らしい|at explaining things^Preposition^modifier^物事を説明することにおいて|logically and systematically?^Adverb^modifier^論理的かつ体系的に
1386|Hearst Castle is one of the top rated tourist attractions in California.|ハースト・キャッスルは、カリフォルニアで最も評価の高い観光スポットの一つだ。|Hearst Castle is^S+V^core^ハースト城は～だ|one of the top rated tourist attractions^Complement^core^最も評価の高い観光名所の一つ|in California.^Preposition^modifier^カリフォルニアで|
1387|This watch is luxurious not only in appearance but also in craftsmanship.|この時計は見た目だけでなく、職人技という点でも贅沢だ。|This watch is luxurious^S+V+C^core^この時計は豪華だ|not only in appearance^Preposition^modifier^外見だけでなく|but also in craftsmanship.^Preposition^modifier^職人技においてもまた|
1388|What do you think of my idea to swim across the Pacific to attempt a Guinness World Record?|ギネス記録を狙って太平洋を泳いで渡るという私のアイデア、どう思う？|What do you think^S+V^core^あなたはどう思う|of my idea^Preposition^modifier^私のアイデアについて|to swim across the Pacific^Infinitive^modifier^太平洋を泳いで渡るという|to attempt^Infinitive^modifier^挑戦するために
1389|You can find intricately carved pieces of art everywhere in Bali.|バリ島では、複雑な彫刻が施された芸術品を至る所で見ることができる。|You can find^S+V^core^あなたは見つけることができる|intricately carved pieces of art^Object^core^複雑に彫刻された芸術品を|everywhere^Adverb^modifier^至る所で|in Bali.^Preposition^modifier^バリで
1390|Tony's decisions are always rational and logical, but sometimes I think they're a bit harsh.|トニーの決断は常に合理的で論理的だが、時々少し厳しすぎると思うことがある。|Tony's decisions are^S+V^core^トニーの決定は～だ|always rational and logical,^Complement^core^常に合理的かつ論理的|but^Conjunction^connector^しかし|sometimes I think^S+V^core^時々私は思う
1391|There's a low probability of my team winning tonight, but I still need to watch the game.|今夜チームが勝つ確率は低いが、それでも試合を見なければならない。|There's^Verb^core^～がある|a low probability^Subject^core^低い可能性が|of my team winning^Preposition^modifier^私のチームが勝つことの|tonight,^Adverb^modifier^今夜
1392|I thought I saw Yukari on the train, but it must have been a hallucination.|電車でユカリを見たと思ったけど、幻覚だったに違いない。|I thought^S+V^core^私は思った|(that) I saw Yukari^Clause^core^私がユカリを見たと|on the train,^Preposition^modifier^電車で|but^Conjunction^connector^しかし
1393|Social media addiction is an epidemic and I don't think there's a cure.|SNS中毒は伝染病のようなもので、治療法はないと思う。|Social media addiction^Subject^core^ソーシャルメディア中毒は|is an epidemic^Verb+Complement^core^伝染病（流行病）だ|and^Conjunction^connector^そして|I don't think^S+V^core^私は思わない
1394|I don't need an expensive watch because my phone serves the same purpose.|携帯電話が同じ役割を果たしてくれるので、高い時計は必要ない。|I don't need^S+V^core^私は必要としない|an expensive watch^Object^core^高価な時計を|because^Conjunction^connector^なぜなら|my phone serves^S+V^core^私の電話が果たすから
1395|I feel better already. So, do I really need to take these antibiotics for another week?|もう気分は良くなりました。で、本当にあと1週間も抗生物質を飲む必要があるんですか？|I feel better already.^S+V+C^core^私はもう気分が良い|So,^Conjunction^connector^だから|do I really need to take^S+V^core^私は本当に飲む（摂取する）必要があるか|these antibiotics^Object^core^これらの抗生物質を
1396|I don't disagree with your idea, but I still feel like there is a better one.|あなたの考えに反対するわけではないが、もっと良い案があるような気がする。|I don't disagree^S+V^core^私は同意しないわけではない|with your idea,^Preposition^modifier^あなたの考えに|but^Conjunction^connector^しかし|I still feel like^S+V^core^私はまだ～のような気がする
1397|I have big ambitions, but I don't have the resources to realize them.|私には大きな野望があるが、それを実現するためのリソースがない。|I have^S+V^core^私は持っている|big ambitions,^Object^core^大きな野望を|but^Conjunction^connector^しかし|I don't have^S+V^core^私は持っていない
1398|What I have for dinner is usually dictated by what's in my fridge already.|夕食に何を食べるかは、たいてい冷蔵庫にあるもので決まる。|What I have for dinner^Subject(Clause)^core^私が夕食に食べるものは|is usually dictated^Verb(Passive)^core^たいてい指図（決定）される|by what's in my fridge already.^Preposition(Clause)^modifier^すでに冷蔵庫にあるものによって|
1399|Simply put, we just need to get everything done by the end of the day.|簡単に言えば、今日中にすべて終わらせればいいだけだ。|Simply put,^Adverb^modifier^簡単に言えば|we just need to get^S+V^core^私たちは～するだけでいい|everything done^Object+Complement^core^すべてを終わった状態に|by the end of the day.^Preposition^modifier^今日（一日）の終わりまでに
1400|I want to let my kids do whatever they want to do as long as they don't commit crimes.|犯罪さえ犯さなければ、子供たちには好きなことをさせてやりたい。|I want to let^S+V^core^私はさせたい|my kids do^Object+Infinitive^core^私の子供たちがする（のを）|whatever they want to do^Object(Clause)^core^彼らがしたいこと何でも|as long as^Conjunction^connector^～する限り
1401|While you were out drinking and partying, I was at home studying hard.|あなたが外で飲んで騒いでいる間、私は家で一生懸命勉強していたんだ。|While^Conjunction^connector^～している間に|you were out^S+V^core^あなたが外出していた|drinking and partying,^Participle^modifier^飲んだりパーティーしたりして|I was at home^S+V+Adv^core^私は家にいた
1402|Details and rumors are finally starting to emerge about the new PlayStation.|新型プレイステーションに関する詳細や噂が、ようやく出始めた。|Details and rumors^Subject^core^詳細と噂が|are finally starting to emerge^Verb^core^ついに現れ始めている|about the new PlayStation.^Preposition^modifier^新しいプレイステーションについて|
